year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2018,A,"Agriculture, Forestry and Fishing",a_0,Activity unit,40770,COUNT
2018,A,"Agriculture, Forestry and Fishing",a_0,Rolling mean employees,0,COUNT
2018,A,"Agriculture, Forestry and Fishing",a_0,Salaries and wages paid,377,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,"Sales, government funding, grants and subsidies",10582,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,Total income,12468,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,Total expenditure,8841,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,Operating profit before tax,2193,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,Total assets,68083,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,Fixed tangible assets,38228,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Activity unit,20487,COUNT
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Rolling mean employees,38493,COUNT
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Salaries and wages paid,1968,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,"Sales, government funding, grants and subsidies",16117,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Total income,17194,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Total expenditure,14409,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Operating profit before tax,1979,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Total assets,64288,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Fixed tangible assets,38484,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Activity unit,2229,COUNT
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Rolling mean employees,15717,COUNT
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Salaries and wages paid,712,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,"Sales, government funding, grants and subsidies",4256,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Total income,4409,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Total expenditure,3899,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Operating profit before tax,431,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Total assets,14340,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Fixed tangible assets,9075,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Activity unit,1251,COUNT
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Rolling mean employees,16374,COUNT
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Salaries and wages paid,690,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,"Sales, government funding, grants and subsidies",3458,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Total income,3602,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Total expenditure,3213,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Operating profit before tax,335,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Total assets,9927,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Fixed tangible assets,5212,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Activity unit,582,COUNT
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Rolling mean employees,17289,COUNT
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Salaries and wages paid,644,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,"Sales, government funding, grants and subsidies",3211,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Total income,3395,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Total expenditure,2997,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Operating profit before tax,279,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Total assets,6799,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Fixed tangible assets,3291,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Activity unit,144,COUNT
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Rolling mean employees,9450,COUNT
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Salaries and wages paid,349,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,"Sales, government funding, grants and subsidies",1501,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Total income,1610,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Total expenditure,1424,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Operating profit before tax,174,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Total assets,4210,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Fixed tangible assets,1595,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Activity unit,36,COUNT
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Rolling mean employees,5154,COUNT
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Salaries and wages paid,198,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,"Sales, government funding, grants and subsidies",638,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Total income,642,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Total expenditure,602,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Operating profit before tax,35,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Total assets,524,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Fixed tangible assets,C,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,Activity unit,21,COUNT
2018,A,"Agriculture, Forestry and Fishing",h_200+,Rolling mean employees,10671,COUNT
2018,A,"Agriculture, Forestry and Fishing",h_200+,Salaries and wages paid,386,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,"Sales, government funding, grants and subsidies",1525,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,Total income,1582,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,Total expenditure,1445,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,Operating profit before tax,127,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,Total assets,3370,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,Fixed tangible assets,C,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Activity unit,65520,COUNT
2018,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Rolling mean employees,113151,COUNT
2018,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Salaries and wages paid,5324,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",i_Industry_Total,"Sales, government funding, grants and subsidies",41288,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total income,44901,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total expenditure,36830,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Operating profit before tax,5552,DOLLARS(millions)
